epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,646.793,0.99521,2.09292,0.33271,0.89404,1.10147,0.59929,0.73748,0.74753,0.50504,0.52995,0.63643,0.61811,0.24755,1.18543,2.61982,0.06489,1.26113,1.29809,0.000312463,0.000312463,0.000312463
73,655.667,0.99226,2.20139,0.33595,0.91422,1.10214,0.67521,0.7981,0.81335,0.54997,0.57724,0.69216,0.68327,0.28787,1.21606,2.5434,0.06574,1.06497,1.31082,0.000308582,0.000308582,0.000308582
74,663.596,0.9917,2.19936,0.34477,0.88401,1.09364,0.75218,0.67649,0.80789,0.5486,0.67727,0.58915,0.7069,0.28831,1.19309,2.52614,0.0634,1.04984,1.30432,0.000304702,0.000304702,0.000304702
75,673.011,0.98823,2.07274,0.32329,0.85663,1.0883,0.62769,0.73985,0.74935,0.51176,0.58331,0.69016,0.67254,0.28464,1.18244,2.49292,0.06726,1.09971,1.29496,0.000300821,0.000300821,0.000300821
76,681.68,0.99105,2.03816,0.31953,0.86869,1.09561,0.67994,0.66346,0.77795,0.52868,0.59963,0.61759,0.65934,0.2786,1.20492,2.53719,0.06281,1.22925,1.31165,0.00029694,0.00029694,0.00029694
77,691.202,0.98127,2.1163,0.32135,0.8749,1.0943,0.70748,0.71154,0.78939,0.53869,0.57178,0.65937,0.64616,0.25537,1.20867,2.59432,0.0586,1.15366,1.30594,0.000293059,0.000293059,0.000293059
78,700.804,0.98844,2.11614,0.32092,0.90094,1.10176,0.67808,0.77044,0.79339,0.54205,0.63246,0.72044,0.72722,0.29369,1.22967,2.45912,0.06149,0.99154,1.33769,0.000289178,0.000289178,0.000289178
79,709.005,0.97291,2.00335,0.3116,0.86722,1.08593,0.75367,0.77765,0.834,0.58167,0.68598,0.70813,0.75225,0.29335,1.16693,2.48472,0.06021,1.0094,1.2767,0.000285298,0.000285298,0.000285298
80,718.496,0.94731,1.95127,0.3059,0.83487,1.06737,0.70822,0.7656,0.80361,0.53757,0.63595,0.70342,0.69623,0.2845,1.24366,2.57533,0.06274,1.26226,1.32185,0.000281417,0.000281417,0.000281417
81,728.488,0.98499,2.06944,0.32552,0.85358,1.09872,0.71798,0.80654,0.83236,0.5736,0.6684,0.7613,0.76428,0.29895,1.15418,2.46034,0.05541,1.03537,1.27432,0.000277536,0.000277536,0.000277536
82,736.079,0.97694,1.99167,0.30998,0.83153,1.08713,0.75645,0.74586,0.8163,0.54331,0.65725,0.65689,0.68734,0.29813,1.19841,2.46701,0.05514,1.04177,1.3073,0.000273655,0.000273655,0.000273655
83,747.274,0.97895,2.002,0.31493,0.86148,1.08945,0.7273,0.80437,0.83151,0.5606,0.62147,0.64676,0.68303,0.30273,1.23342,2.47197,0.06134,1.01046,1.3233,0.000269774,0.000269774,0.000269774
84,756.903,0.97824,1.9727,0.30619,0.85818,1.08655,0.75918,0.83608,0.86991,0.59142,0.70189,0.78718,0.78598,0.31438,1.21108,2.48829,0.05519,0.94114,1.328,0.000265894,0.000265894,0.000265894
85,764.812,0.95121,1.94631,0.30978,0.81211,1.07799,0.63652,0.80585,0.80849,0.55887,0.55003,0.70694,0.68962,0.28896,1.16211,2.50406,0.05412,1.13918,1.28616,0.000262013,0.000262013,0.000262013
86,774.194,0.98361,1.9465,0.28819,0.81485,1.09119,0.80749,0.76485,0.83983,0.55513,0.70034,0.67585,0.71584,0.2968,1.21823,2.44668,0.05565,1.01848,1.30797,0.000258132,0.000258132,0.000258132
87,782.498,0.93266,1.97171,0.30667,0.8326,1.06954,0.75182,0.72197,0.79044,0.53985,0.65149,0.61791,0.66821,0.2779,1.19589,2.47896,0.05321,1.06176,1.30861,0.000254251,0.000254251,0.000254251
88,792.123,0.92004,1.91946,0.3176,0.80069,1.08698,0.75938,0.62371,0.79772,0.54415,0.65696,0.54306,0.65469,0.28476,1.19811,2.54919,0.05547,1.19837,1.32181,0.00025037,0.00025037,0.00025037
89,801.454,0.92969,1.91614,0.30542,0.81998,1.06657,0.8568,0.79409,0.85359,0.59614,0.75702,0.70537,0.73243,0.32879,1.17641,2.4548,0.05546,1.0288,1.29155,0.00024649,0.00024649,0.00024649
90,809.114,0.94909,1.9382,0.3037,0.79171,1.08662,0.72306,0.78615,0.82343,0.57155,0.64442,0.64637,0.67486,0.27337,1.17618,2.56991,0.05257,1.27341,1.30906,0.000242609,0.000242609,0.000242609
91,818.766,0.92431,1.89746,0.32466,0.8049,1.08056,0.70922,0.74971,0.79788,0.54199,0.63173,0.68504,0.68709,0.2917,1.18579,2.46356,0.05262,1.12573,1.30745,0.000238728,0.000238728,0.000238728
92,826.966,0.93393,1.91174,0.30642,0.7993,1.0804,0.79787,0.74597,0.83429,0.56946,0.69827,0.67341,0.71556,0.31154,1.19047,2.38287,0.05306,0.95966,1.29745,0.000234847,0.000234847,0.000234847
93,835.586,0.94862,1.84273,0.28598,0.79044,1.08553,0.76075,0.77386,0.8166,0.55796,0.67685,0.70348,0.6958,0.30654,1.20958,2.45004,0.0574,1.09178,1.30261,0.000230966,0.000230966,0.000230966
94,845.469,0.9464,1.86093,0.29866,0.801,1.08478,0.69968,0.75514,0.78542,0.54701,0.61875,0.68014,0.66718,0.28238,1.20172,2.45055,0.0535,1.19221,1.33587,0.000227086,0.000227086,0.000227086
95,852.605,0.93765,1.87766,0.30754,0.79232,1.07285,0.7799,0.78358,0.83316,0.59133,0.71797,0.72965,0.73397,0.32025,1.17243,2.36451,0.05412,1.00972,1.28635,0.000223205,0.000223205,0.000223205
